year,month,day,lat,lon,label
2010,1,18,-64,-67,0
2010,1,18,-62,-66,0
2010,1,25,-65,-66,0
2010,1,25,-64,-66,0
2010,1,25,-62,-63,0
2010,1,25,-61,-60,0
2010,1,25,-61,-59,0
2010,1,25,-61,-52,0
2010,1,25,-60,-50,0
2010,1,25,-60,-47,0
2010,2,1,-60,-48,1
2010,2,1,-60,-47,1
2010,2,8,-61,-47,1
2010,2,8,-60,-47,1
2010,12,13,-62,-60,0
2010,12,13,-62,-59,1
2010,12,20,-62,-60,0
2010,12,20,-62,-59,1
2010,12,20,-62,-58,0
2010,12,20,-61,-59,1
2010,12,20,-61,-58,1
2010,12,20,-61,-57,1
2010,12,27,-62,-59,1
2010,12,27,-62,-58,1
2010,12,27,-61,-59,1
2010,12,27,-61,-58,1
2011,1,3,-62,-60,0
2011,1,3,-62,-59,0
2011,1,17,-62,-59,0
2011,1,31,-60,-47,0
2011,1,31,-60,-46,1
2011,2,7,-60,-46,1
2011,2,28,-60,-47,0
2011,2,28,-60,-46,0
2011,3,7,-60,-47,1
2011,3,7,-60,-46,1
2011,3,14,-60,-47,1
2011,3,14,-60,-46,1
2011,3,21,-61,-47,0
2011,3,21,-61,-46,0
2011,3,21,-60,-47,0
2011,3,21,-60,-46,1
2011,3,28,-60,-62,0
2011,3,28,-60,-61,0
2011,3,28,-60,-47,1
2011,3,28,-60,-46,1
2011,4,4,-60,-47,1
2011,4,11,-61,-47,1
2011,4,11,-60,-47,1
2011,4,18,-61,-47,1
2011,4,18,-60,-46,0
2011,4,25,-60,-47,1
2011,4,25,-60,-46,0
2011,5,2,-60,-47,1
2011,5,9,-60,-47,0
2011,12,26,-63,-59,0
2012,1,2,-63,-59,1
2012,1,2,-62,-60,1
2012,1,2,-62,-59,1
2012,1,9,-62,-60,1
2012,1,9,-62,-59,1
2012,1,9,-61,-59,0
2012,1,16,-62,-60,1
2012,1,16,-62,-59,1
2012,1,16,-61,-59,1
2012,1,16,-61,-58,1
2012,1,23,-61,-59,0
2012,1,23,-61,-58,1
2012,2,20,-62,-61,0
2012,2,20,-62,-58,0
2012,3,5,-62,-60,0
2012,3,12,-60,-63,0
2012,3,12,-60,-48,0
2012,3,12,-60,-47,1
2012,3,12,-60,-46,1
2012,3,19,-60,-47,1
2012,3,19,-60,-46,0
2012,3,26,-60,-46,0
2012,5,21,-63,-62,1
2012,5,21,-63,-61,0
2012,5,28,-63,-62,1
2012,5,28,-63,-61,0
2012,5,28,-63,-60,0
